work_year,experience_level,employment_type,job_title,salary_in_usd,remote_ratio,company_location,company_size
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Science Director,212000,0,US,M
2023,Executive-level / Director,Full-Time,Data Science Director,190000,0,US,M
2023,Mid-level / Intermediate,Full-Time,Business Intelligence Engineer,43064,0,GB,M
2023,Mid-level / Intermediate,Full-Time,Business Intelligence Engineer,43064,0,GB,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Machine Learning Engineer,245700,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Machine Learning Engineer,132300,0,US,M
2023,Mid-level / Intermediate,Full-Time,Data Specialist,90000,0,US,M
2023,Mid-level / Intermediate,Full-Time,Data Specialist,80000,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Machine Learning Engineer,212000,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Machine Learning Engineer,93300,0,US,M
2023,Mid-level / Intermediate,Full-Time,Data Scientist,212000,0,US,M
2023,Mid-level / Intermediate,Full-Time,Data Scientist,93300,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,ML Engineer,276000,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,ML Engineer,174000,0,US,M
2023,Mid-level / Intermediate,Full-Time,Data Engineer,133000,0,US,M
2023,Mid-level / Intermediate,Full-Time,Data Engineer,58300,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Analyst,145640,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Analyst,84400,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Engineer,300000,100,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Engineer,195000,100,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Architect,190000,100,CA,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Architect,107500,100,CA,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Analyst,105000,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Analyst,75000,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Analyst,140000,100,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Analyst,98000,100,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Machine Learning Engineer,204500,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Machine Learning Engineer,142200,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Scientist,236160,100,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Scientist,159408,100,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Analyst,115000,100,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Analyst,85000,100,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Product Manager,145000,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Product Manager,120000,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Analyst,120350,100,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Analyst,74400,100,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Analyst,158494,100,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Analyst,88052,100,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Analytics Engineer,181500,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Analytics Engineer,127000,0,US,M
2023,Mid-level / Intermediate,Full-Time,Machine Learning Engineer,300000,0,US,M
2023,Mid-level / Intermediate,Full-Time,Machine Learning Engineer,260000,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Scientist,258000,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Scientist,171000,0,US,M
2023,Entry-level / Junior,Freelance,Business Intelligence Consultant,615201,100,IN,S
2023,Entry-level / Junior,Full-Time,BI Data Analyst,25000,100,NL,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Scientist,200000,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Scientist,150000,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Machine Learning Engineer,225300,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Machine Learning Engineer,197400,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Engineer,205500,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Engineer,128500,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Architect,191600,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Architect,125600,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Machine Learning Engineer,245700,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Machine Learning Engineer,132300,0,US,M
2023,Mid-level / Intermediate,Full-Time,Data Scientist,130410,0,US,M
2023,Mid-level / Intermediate,Full-Time,Data Scientist,92000,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Scientist,183900,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Scientist,108800,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Machine Learning Engineer,275000,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Machine Learning Engineer,121200,0,US,M
2023,Mid-level / Intermediate,Full-Time,Data Scientist,166000,0,US,M
2023,Mid-level / Intermediate,Full-Time,Data Scientist,73100,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Scientist,231250,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Scientist,111000,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Engineer,300000,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Engineer,130000,0,US,M
2023,Mid-level / Intermediate,Full-Time,Data Engineer,210500,0,US,M
2023,Mid-level / Intermediate,Full-Time,Data Engineer,105300,0,US,M
2023,Mid-level / Intermediate,Full-Time,Data Engineer,158400,0,US,M
2023,Mid-level / Intermediate,Full-Time,Data Engineer,85800,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Machine Learning Engineer,305600,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Machine Learning Engineer,146600,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Analyst,180400,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Analyst,138800,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Scientist,258700,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Scientist,172500,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Scientist,156100,0,CA,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Scientist,100400,0,CA,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Analyst,134200,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Analyst,103200,0,US,M
2023,Mid-level / Intermediate,Full-Time,Data Analyst,105000,0,US,M
2023,Mid-level / Intermediate,Full-Time,Data Analyst,85000,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Scientist,220000,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Scientist,160000,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Analyst,110000,100,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Analyst,95000,100,US,M
2023,Mid-level / Intermediate,Full-Time,Data Analyst,95400,100,US,M
2023,Mid-level / Intermediate,Full-Time,Data Analyst,57800,100,US,M
2023,Mid-level / Intermediate,Full-Time,Data Scientist,110000,0,US,M
2023,Mid-level / Intermediate,Full-Time,Data Scientist,86000,0,US,M
2023,Executive-level / Director,Full-Time,Data Analyst,125000,0,US,M
2023,Executive-level / Director,Full-Time,Data Analyst,87500,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Business Intelligence Engineer,185000,0,US,L
2023,Senior-level / Executive-level / Directorpert,Full-Time,Business Intelligence Engineer,79600,0,US,L
2023,Senior-level / Executive-level / Directorpert,Full-Time,Machine Learning Engineer,275000,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Machine Learning Engineer,170000,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Engineer,133200,100,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Engineer,84000,100,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Analyst,171000,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Analyst,93000,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Analytics Engineer,216450,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Analytics Engineer,123750,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Research Scientist,212800,0,US,L
2023,Senior-level / Executive-level / Directorpert,Full-Time,Research Scientist,124100,0,US,L
2023,Mid-level / Intermediate,Full-Time,Data Scientist,205000,100,US,M
2023,Mid-level / Intermediate,Full-Time,Data Scientist,166000,100,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Scientist,231650,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Scientist,189100,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Engineer,160000,100,CA,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Engineer,120000,100,CA,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Scientist,156100,0,CA,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Scientist,100400,0,CA,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Engineer,266875,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Engineer,128250,0,US,M
2023,Mid-level / Intermediate,Full-Time,Data Engineer,158600,100,US,M
2023,Mid-level / Intermediate,Full-Time,Data Engineer,115300,100,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Engineer,225300,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Engineer,197400,0,US,M
2023,Entry-level / Junior,Full-Time,Data Analyst,109900,0,US,M
2023,Entry-level / Junior,Full-Time,Data Analyst,61200,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Integration Engineer,161000,100,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Integration Engineer,75000,100,US,M
2023,Mid-level / Intermediate,Full-Time,Data Analyst,166000,0,US,M
2023,Mid-level / Intermediate,Full-Time,Data Analyst,73100,0,US,M
2023,Mid-level / Intermediate,Full-Time,Data Scientist,138510,0,US,M
2023,Mid-level / Intermediate,Full-Time,Data Scientist,95490,0,US,M
2023,Mid-level / Intermediate,Full-Time,Data Analyst,150000,100,US,M
2023,Mid-level / Intermediate,Full-Time,Data Analyst,110000,100,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Scientist,232200,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Scientist,133300,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Machine Learning Engineer,121788,0,LT,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Machine Learning Engineer,79032,0,LT,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Analytics Engineer,178250,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Analytics Engineer,110500,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,AI Engineer,190000,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,AI Engineer,160000,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Applied Scientist,216000,100,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Applied Scientist,184000,100,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Scientist,166000,100,CA,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Scientist,104000,100,CA,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Business Intelligence Engineer,185000,0,US,L
2023,Senior-level / Executive-level / Directorpert,Full-Time,Business Intelligence Engineer,79600,0,US,L
2023,Senior-level / Executive-level / Directorpert,Full-Time,Machine Learning Engineer,230000,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Machine Learning Engineer,196000,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Engineer,184000,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Engineer,123000,0,US,M
2023,Mid-level / Intermediate,Full-Time,Business Intelligence Engineer,165600,0,US,L
2023,Mid-level / Intermediate,Full-Time,Business Intelligence Engineer,65800,0,US,L
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Engineer,186000,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Engineer,81800,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Analyst,135000,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Analyst,82500,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Engineer,247250,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Engineer,160000,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Machine Learning Scientist,169000,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Machine Learning Scientist,105500,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Scientist,195800,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Scientist,161900,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Business Intelligence Engineer,108500,100,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Business Intelligence Engineer,78800,100,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Research Scientist,225000,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Research Scientist,166000,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,BI Developer,167500,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,BI Developer,106500,0,US,M
2023,Mid-level / Intermediate,Full-Time,Business Intelligence Manager,160000,100,US,M
2023,Mid-level / Intermediate,Full-Time,Business Intelligence Manager,110000,100,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Analyst,120000,0,CA,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Analyst,105000,0,CA,M
2023,Mid-level / Intermediate,Full-Time,Data Analyst,110000,100,US,M
2023,Mid-level / Intermediate,Full-Time,Data Analyst,87500,100,US,M
2023,Mid-level / Intermediate,Full-Time,Data Scientist,60000,0,US,M
2023,Mid-level / Intermediate,Full-Time,Data Scientist,55000,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Engineer,145000,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Engineer,115000,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Research Scientist,225000,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Research Scientist,166000,0,US,M
2023,Executive-level / Director,Full-Time,Data Engineer,135000,0,US,M
2023,Executive-level / Director,Full-Time,Data Engineer,100000,0,US,M
2023,Mid-level / Intermediate,Full-Time,Machine Learning Engineer,105000,100,PT,M
2023,Mid-level / Intermediate,Full-Time,Machine Learning Engineer,95000,100,PT,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Analytics Engineer,289800,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Analytics Engineer,214200,0,US,M
2023,Mid-level / Intermediate,Full-Time,Data Engineer,167500,0,US,M
2023,Mid-level / Intermediate,Full-Time,Data Engineer,106500,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Scientist,220000,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Scientist,146000,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Engineer,128000,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Engineer,81500,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Architect,206000,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Architect,134000,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Research Scientist,370000,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Research Scientist,200000,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Analytics Engineer,175000,100,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Analytics Engineer,160000,100,US,M
2023,Entry-level / Junior,Full-Time,Data Integration Specialist,240000,100,US,M
2023,Entry-level / Junior,Full-Time,Data Integration Specialist,100000,100,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Scientist,180000,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Scientist,160000,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Business Intelligence Engineer,143000,0,CA,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Business Intelligence Engineer,127000,0,CA,M
2023,Mid-level / Intermediate,Full-Time,Applied Scientist,249300,0,US,L
2023,Mid-level / Intermediate,Full-Time,Applied Scientist,149300,0,US,L
2023,Senior-level / Executive-level / Directorpert,Full-Time,Applied Scientist,222200,0,US,L
2023,Senior-level / Executive-level / Directorpert,Full-Time,Applied Scientist,136000,0,US,L
